match_id,season_id,match_date,venue,city,team1,team2,toss_winner,toss_decision,match_winner,win_by_runs,win_by_wickets,result,player_name
1321260,2022,2022-07-12,Kerava National Cricket Ground,Kerava,Romania,Turkey,Turkey,field,Romania,51,0,normal,V Saini
1321261,2022,2022-07-13,Tikkurila Cricket Ground,Vantaa,Cyprus,Romania,Romania,field,Cyprus,20,0,normal,Muhammad Shoaib Ahmed
1321262,2022,2022-07-13,Kerava National Cricket Ground,Kerava,Croatia,Sweden,Sweden,field,Sweden,0,8,normal,Zaker Taqawi
1321263,2022,2022-07-13,Tikkurila Cricket Ground,Vantaa,Isle of Man,Serbia,Serbia,field,Isle of Man,68,0,normal,G Burrows
1321264,2022,2022-07-13,Kerava National Cricket Ground,Kerava,Finland,Italy,Italy,field,Italy,0,5,normal,
1321265,2022,2022-07-15,Tikkurila Cricket Ground,Vantaa,Italy,Sweden,Sweden,field,Italy,91,0,normal,M Campopiano
1321266,2022,2022-07-15,Kerava National Cricket Ground,Kerava,Turkey,Serbia,Serbia,field,Serbia,0,7,normal,NR Johns-Wickberg
1321267,2022,2022-07-15,Tikkurila Cricket Ground,Vantaa,Croatia,Greece,Greece,field,Croatia,3,0,normal,DJ Turkich
1321268,2022,2022-07-15,Kerava National Cricket Ground,Kerava,Romania,Isle of Man,Isle of Man,field,Isle of Man,0,8,normal,
1321269,2022,2022-07-16,Tikkurila Cricket Ground,Vantaa,Romania,Serbia,Romania,bat,Romania,31,0,normal,Taranjeet Singh
1321270,2022,2022-07-16,Kerava National Cricket Ground,Kerava,Finland,Greece,Greece,field,Finland,37,0,normal,PF Gallagher
1321271,2022,2022-07-16,Tikkurila Cricket Ground,Vantaa,Cyprus,Turkey,Cyprus,bat,Cyprus,135,0,normal,
1321272,2022,2022-07-16,Kerava National Cricket Ground,Kerava,Italy,Croatia,Italy,bat,Italy,166,0,normal,
1321273,2022,2022-07-18,Tikkurila Cricket Ground,Vantaa,Sweden,Greece,Greece,field,Sweden,107,0,normal,Hamid Mahmood
1321274,2022,2022-07-18,Kerava National Cricket Ground,Kerava,Cyprus,Serbia,Cyprus,bat,Serbia,0,4,normal,A Dizija
1321275,2022,2022-07-18,Tikkurila Cricket Ground,Vantaa,Croatia,Finland,Croatia,bat,Finland,0,5,normal,DJ Turkich
1321276,2022,2022-07-18,Kerava National Cricket Ground,Kerava,Isle of Man,Turkey,Isle of Man,bat,Isle of Man,74,0,normal,G Burrows
1321277,2022,2022-07-19,Tikkurila Cricket Ground,Vantaa,Serbia,Croatia,Serbia,bat,Croatia,0,3,normal,N Davidovic
1321278,2022,2022-07-19,Kerava National Cricket Ground,Kerava,Finland,Cyprus,Finland,bat,Finland,11,0,normal,Atif Rasheed
1321279,2022,2022-07-19,Tikkurila Cricket Ground,Vantaa,Romania,Sweden,Romania,bat,Sweden,0,8,normal,Hamid Mahmood
1321280,2022,2022-07-19,Kerava National Cricket Ground,Kerava,Isle of Man,Italy,Italy,field,Italy,0,7,normal,M Campopiano
1321281,2022,2022-07-24,Tikkurila Cricket Ground,Vantaa,Austria,Luxembourg,Luxembourg,field,Austria,36,0,normal,Sahel Zadran
1321282,2022,2022-07-24,Kerava National Cricket Ground,Kerava,Estonia,Norway,Estonia,bat,Norway,0,10,normal,Raza Iqbal
1321283,2022,2022-07-24,Tikkurila Cricket Ground,Vantaa,Guernsey,Bulgaria,Bulgaria,field,Guernsey,52,0,normal,T Nightingale
1321284,2022,2022-07-24,Kerava National Cricket Ground,Kerava,France,Czech Republic,Czech Republic,field,France,51,0,normal,G Mckeon
1321286,2022,2022-07-25,Kerava National Cricket Ground,Kerava,Austria,Slovenia,Slovenia,field,Austria,141,0,normal,Mirza Ahsan
1321287,2022,2022-07-25,Tikkurila Cricket Ground,Vantaa,France,Switzerland,France,bat,Switzerland,0,1,normal,
1321288,2022,2022-07-25,Kerava National Cricket Ground,Kerava,Guernsey,Luxembourg,Luxembourg,field,Guernsey,17,0,normal,SKS Gill
1321289,2022,2022-07-27,Tikkurila Cricket Ground,Vantaa,Guernsey,Austria,Guernsey,bat,Austria,0,2,normal,Razmal Shigiwal
1321290,2022,2022-07-27,Kerava National Cricket Ground,Kerava,Switzerland,Estonia,Switzerland,bat,Switzerland,31,0,normal,Faheem Nazir
1321291,2022,2022-07-27,Tikkurila Cricket Ground,Vantaa,Slovenia,Bulgaria,Bulgaria,field,Bulgaria,0,3,normal,IA De Silva
1321292,2022,2022-07-27,Kerava National Cricket Ground,Kerava,France,Norway,France,bat,France,11,0,normal,G Mckeon
1321293,2022,2022-07-28,Tikkurila Cricket Ground,Vantaa,Norway,Switzerland,Norway,bat,Norway,12,0,normal,Ali Saleem
1321294,2022,2022-07-28,Kerava National Cricket Ground,Kerava,Luxembourg,Bulgaria,Luxembourg,bat,Luxembourg,21,0,normal,SKS Gill
1321295,2022,2022-07-28,Tikkurila Cricket Ground,Vantaa,Czech Republic,Estonia,Czech Republic,bat,Czech Republic,42,0,normal,S Wickramasekara
1321296,2022,2022-07-28,Kerava National Cricket Ground,Kerava,Slovenia,Guernsey,Guernsey,field,Guernsey,0,9,normal,MWR Stokes
1321298,2022,2022-07-30,Kerava National Cricket Ground,Kerava,Switzerland,Czech Republic,Switzerland,bat,Czech Republic,0,7,normal,Faheem Nazir
1321299,2022,2022-07-30,Tikkurila Cricket Ground,Vantaa,Luxembourg,Slovenia,Luxembourg,bat,Luxembourg,5,0,normal,Muhammad Siddiqui
1321301,2022,2022-07-31,Tikkurila Cricket Ground,Vantaa,Bulgaria,Czech Republic,Bulgaria,bat,Czech Republic,0,4,normal,S Wickramasekara
1321302,2022,2022-07-31,Kerava National Cricket Ground,Kerava,Guernsey,France,Guernsey,bat,Guernsey,56,0,normal,LT Bichard
1321303,2022,2022-07-31,Tikkurila Cricket Ground,Vantaa,Luxembourg,Switzerland,Luxembourg,bat,Luxembourg,7,0,normal,Jai Sinh
1321304,2022,2022-07-31,Kerava National Cricket Ground,Kerava,Norway,Austria,Norway,bat,Austria,0,9,normal,Iqbal Hossain
1321305,2022,2022-07-08,"Scott Page Field, Vinor",Prague,Luxembourg,Austria,Austria,field,Austria,0,5,normal,Razmal Shigiwal
1321306,2022,2022-07-08,"Scott Page Field, Vinor",Prague,Luxembourg,Czech Republic,Luxembourg,bat,Czech Republic,0,5,normal,Sazib Bhuiyan
